,id,title,poster_path,backdrop_path
56,914,The Great Dictator,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,/c8Pi8F1FzpNebtgXcSjC9nWCdSW.jpg
57,644479,Dedicated to my ex,/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg,/1fOsyhVz5qyX2rl1qqX6KImVhTx.jpg
58,105,Back to the Future,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,/5bzPWQ2dFUl2aZKkp7ILJVVkRed.jpg
59,599,Sunset Boulevard,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg
60,207,Dead Poets Society,/hmGAF5NDoYB6S39UONevjHCESOI.jpg,/rSzDfniDjqh2TIP9uH7rwi2iRy3.jpg
61,1139087,Once Upon a Studio,/hr8ZtwdbtjBquxlTCrczr685K5T.jpg,/8KJMOKyl9rpgb9ELEwhfBMIaTHw.jpg
62,18491,Neon Genesis Evangelion: The End of Evangelion,/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,/AfyuI3glMCBDFmNPj9PY6DwbgGp.jpg
63,101,Léon: The Professional,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,/jRJrQ72VLyEnVsvwfep8Xjlvu8c.jpg
64,1026227,There's Still Tomorrow,/4Hi7yjiQjokEDStT1MOj5rPgRfW.jpg,/clcppGPPmO6GflJTZAS0xVeDRK.jpg
65,10494,Perfect Blue,/bee6ZQVaSAUhlBinsP9In8x8vO1.jpg,/A1Larywbw79kZQqkvCEiPHJqdLN.jpg
66,12493,High and Low,/tgNjemQPG96uIezpiUiXFcer5ga.jpg,/A62quSOB8otoZvGiLvMVZ9G4BiO.jpg
67,3782,Ikiru,/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg,/yn6DvHSEXE8Ao3QaNlELpqeSOqx.jpg
68,3082,Modern Times,/uEMekS25hwXrCJOZZ3NKMGcAFJo.jpg,/kSlO1pHpwQfPQdgVPr7dJiJNtJ8.jpg
69,335,Once Upon a Time in the West,/qbYgqOczabWNn2XKwgMtVrntD6P.jpg,/vmryZ1Bkko8P2utNaJeO2Yo2Bx4.jpg
70,901,City Lights,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,/n0Cju2Eu3VyrUFl32thblHFWznA.jpg
71,28,Apocalypse Now,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,/8viWxsL4lwmQZB8QHOCHwMvBGXd.jpg
72,995133,"The Boy, the Mole, the Fox and the Horse",/oQRgyQCzcyZvE6w5heM9ktVY0LT.jpg,/jGKQks1bd3rmltqaXbEbS9DnsPv.jpg
73,447362,Life in a Year,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,/88J6waYVTta8Qz3iX3qUeWNA5d5.jpg
74,77338,The Intouchables,/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg,/bGksau9GGu0uJ8DJQ8DYc9JW5LM.jpg
